"日期","应用名称","广告类型","DAU","DEU","渗透率","应用请求","应用填充","应用填充率","竞价请求","竞价响应","竞价响应率","竞价胜出率","请求","填充","填充率","广告Ready率","查询 isReady","查询Ready率","展示","展示 / DAU","展示 / DEU","展示率","点击","点击率","eCPM","eCPC","预估收入","ARPDAU(￠)","ARPDEU(￠)"
"合计/均值","","","10,721,844","1,231,848,164","11,489.14%","30,556,926,999","12,141,078,653","39.73%","48,431,650,330","9,907,546,622","20.46%","351.45%","34,819,825,194","3,952,492,021","11.35%","77.40%","29,924,541,971","34.67%","1,613,981,694","1.64","0.01","40.83%","226,508,806","14.03%","$0.83","0.59￠","$1,342,286.85","0.44","0.00"
"2026-08-31 (一)","安卓_LOKBOX: iris","激励视频","2","1","50.00%","13","7","53.85%","190","87","45.79%","178.16%","155","21","13.55%","100.00%","5","60.00%","3","1.50","3.00","14.29%","2","66.67%","$1.27","0.19￠","$0.00","0.06","0.12"
"2026-08-31 (一)","安卓_LOKBOX: iris","横幅","2","2","100.00%","10","8","80.00%","664","117","17.62%","331.62%","388","74","19.07%","-","-","-","30","15.00","15.00","40.54%","1","3.33%","$0.32","0.95￠","$0.01","0.03","0.03"
"2026-08-31 (一)","安卓_LOKBOX: iris","插屏","2","1","50.00%","11","8","72.73%","274","90","32.85%","193.33%","174","33","18.97%","-","2","-","5","2.50","5.00","15.15%","1","20.00%","$1.16","0.58￠","$0.01","-","-"
"2026-08-31 (一)","安卓_LOKBOX: iris","开屏","2","-","-","2","1","50.00%","66","8","12.12%","50.00%","4","3","75.00%","-","-","-","1","0.50","-","33.33%","1","100.00%","$0.13","0.01￠","$0.00","-","-"
"2026-08-31 (一)","安卓_LokShort - short","开屏","1,072","-","-","794","348","43.83%","8,630","945","10.95%","677.25%","6,400","523","8.17%","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-31 (一)","安卓_LokShort - short","激励视频","1,072","-","-","1,164","1,117","95.96%","14,916","5,199","34.86%","190.11%","9,884","2,207","22.33%","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-31 (一)","安卓_LokShort - short","插屏","1,072","-","-","1,066","1,025","96.15%","13,697","4,841","35.34%","185.35%","8,973","2,104","23.45%","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-31 (一)","安卓_LokShort - short","横幅","1,072","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-31 (一)","安卓_HITV - cube","激励视频","24,307","20","0.08%","8,883","7,393","83.23%","67,779","16,556","24.43%","124.82%","20,666","11,237","54.37%","93.02%","143,111","0.23%","39","0.00","1.95","0.35%","4","10.26%","$1.69","1.65￠","$0.07","-","0.07"
"2026-08-31 (一)","安卓_HITV - cube","插屏","24,307","30","0.12%","6,789","6,019","88.66%","53,411","17,798","33.32%","81.13%","14,440","11,048","76.51%","-","157","1.27%","45","0.00","1.50","0.41%","6","13.33%","$0.39","0.29￠","$0.02","-","0.02"
"2026-08-31 (一)","安卓_HITV - cube","横幅","24,307","33","0.14%","1,699","539","31.72%","16,773","1,016","6.06%","796.26%","8,090","726","8.97%","-","-","-","48","0.00","1.45","6.61%","1","2.08%","$0.16","0.76￠","$0.01","-","0.01"
"2026-08-31 (一)","安卓_HITV - cube","开屏","24,307","2","0.01%","7,012","4,348","62.01%","67,340","9,242","13.72%","516.45%","47,730","4,670","9.78%","-","67","2.99%","2","0.00","1.00","0.04%","1","50.00%","$2.05","0.41￠","$0.00","-","0.03"
"2026-08-31 (一)","安卓_LOKTV - luma","激励视频","354,191","114,709","32.39%","1,894,356","761,056","40.17%","23,888,695","6,663,037","27.89%","130.05%","8,665,333","1,237,520","14.28%","94.63%","1,097,572","46.81%","528,220","1.49","4.60","42.68%","103,183","19.53%","$1.81","0.93￠","$955.63","0.1","0.31"
"2026-08-31 (一)","安卓_LOKTV - luma","插屏","354,191","99,766","28.17%","1,195,215","646,694","54.11%","15,782,019","5,249,924","33.27%","139.31%","7,313,500","1,124,206","15.37%","-","130,306","16.07%","379,854","1.07","3.81","33.79%","110,568","29.11%","$1.42","0.49￠","$540.00","0.04","0.16"
"2026-08-31 (一)","安卓_LOKTV - luma","开屏","354,191","65,145","18.39%","226,085","181,786","80.41%","2,558,299","1,239,839","48.46%","100.56%","1,246,836","275,628","22.11%","-","173,411","51.87%","107,772","0.30","1.65","39.10%","38,209","35.45%","$1.92","0.54￠","$207.27","0.02","0.09"
"2026-08-31 (一)","安卓_LOKTV - luma","横幅","354,191","147,948","41.77%","3,788,575","2,613,419","68.98%","50,226,397","9,474,101","18.86%","358.74%","33,987,842","4,053,548","11.93%","-","-","-","1,728,602","4.88","11.68","42.64%","6,639","0.38%","$0.26","6.68￠","$443.37","0.01","0.03"
"2026-08-31 (一)","安卓_Loklok - nora","激励视频","8,565","2,507","29.27%","19,509","16,324","83.67%","158,406","100,764","63.61%","109.56%","110,393","27,034","24.49%","98.42%","564,427","4.38%","11,360","1.33","4.53","42.02%","2,767","24.36%","$2.14","0.88￠","$24.29","0.11","0.38"
"2026-08-31 (一)","安卓_Loklok - nora","插屏","8,565","2,061","24.06%","16,609","13,879","83.56%","136,465","83,910","61.49%","119.61%","100,366","23,933","23.85%","-","2,014","4.92%","8,514","0.99","4.13","35.57%","2,321","27.26%","$1.57","0.57￠","$13.33","0.05","0.22"
"2026-08-31 (一)","安卓_Loklok - nora","开屏","8,565","1,813","21.17%","4,636","3,846","82.96%","39,729","17,627","44.37%","159.42%","28,101","6,476","23.05%","-","3,815","62.23%","2,859","0.33","1.58","44.15%","948","33.16%","$1.83","0.55￠","$5.25","0.02","0.10"
"2026-08-31 (一)","安卓_Loklok - nora","横幅","8,565","3,117","36.39%","107,284","29,103","27.13%","266,634","49,226","18.46%","224.48%","110,503","44,556","40.32%","-","-","-","14,853","1.73","4.77","33.34%","114","0.77%","$0.20","2.61￠","$2.97","-","-"
"2026-08-31 (一)","安卓_Loklok - nora","原生","8,565","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"2026-08-31 (一)","iOS_MovieBox - solis","激励视频","8,064","4,005","49.67%","39,708","27,941","70.37%","302,409","115,094","38.06%","180.52%","207,773","43,512","20.94%","-","52,277","45.34%","16,039","1.99","4.00","36.86%","2,937","18.31%","$3.11","1.70￠","$49.91","0.43","0.87"
"2026-08-31 (一)","iOS_MovieBox - solis","插屏","8,064","2,569","31.86%","33,129","20,196","60.96%","262,998","84,917","32.29%","195.70%","166,186","24,207","14.57%","-","55,548","33.87%","6,494","0.81","2.53","26.83%","1,504","23.16%","$2.69","1.16￠","$17.47","0.15","0.48"
"2026-08-31 (一)","iOS_MovieBox - solis","开屏","8,064","3,078","38.17%","11,210","8,904","79.43%","60,694","31,299","51.57%","186.39%","58,337","12,738","21.84%","-","5,395","100.00%","5,621","0.70","1.83","44.13%","2,807","49.94%","$1.82","0.37￠","$10.25","0.06","0.16"
"2026-08-31 (一)","iOS_MovieBox - solis","横幅","8,064","4,507","55.89%","54,704","27,402","50.09%","415,476","55,867","13.45%","479.90%","268,108","29,494","11.00%","-","-","-","23,231","2.88","5.15","78.77%","306","1.32%","$0.10","0.77￠","$2.36","0.01","0.02"
"2026-08-31 (一)","iOS_MovieBox - solis","原生","8,064","2,667","33.07%","336,477","18,617","5.53%","1,404,012","27,338","1.95%","3,168.60%","866,231","21,355","2.47%","-","-","-","4,921","0.61","1.85","23.04%","5","0.10%","$0.10","10.04￠","$0.50","-","0.01"
"2026-08-31 (一)","iOS_LOKTV - quant","激励视频","17,177","8,415","48.99%","981,607","70,403","7.17%","4,858,144","708,536","14.58%","54.24%","384,293","113,232","29.47%","-","43,210,428","76.62%","36,816","2.14","4.38","32.51%","7,695","20.90%","$3.94","1.88￠","$144.97","0.47000000000000003","0.97"
"2026-08-31 (一)","iOS_LOKTV - quant","插屏","17,177","7,545","43.93%","770,608","78,038","10.13%","3,870,863","522,004","13.49%","84.82%","442,748","130,801","29.54%","-","43,053,639","82.23%","29,419","1.71","3.90","22.49%","11,032","37.50%","$2.72","0.72￠","$79.96","0.16","0.35"
"2026-08-31 (一)","iOS_LOKTV - quant","开屏","17,177","9,970","58.04%","18,540","17,296","93.29%","181,778","128,765","70.84%","69.33%","89,267","21,209","23.76%","-","15,634","100.00%","18,593","1.08","1.86","87.67%","9,484","51.01%","$2.61","0.51￠","$48.45","0.09","0.15"
"2026-08-31 (一)","iOS_LOKTV - quant","横幅","17,177","9,888","57.57%","119,082","74,195","62.31%","915,566","154,788","16.91%","345.83%","535,296","91,127","17.02%","-","-","-","68,614","3.99","6.94","75.29%","1,116","1.63%","$0.21","1.26￠","$14.09","0.02","0.04"
"2026-08-31 (一)","iOS_LOKTV - quant","原生","17,177","5,498","32.01%","1,362,910","32,353","2.37%","6,269,074","54,859","0.88%","6,394.07%","3,507,723","39,880","1.14%","-","-","-","11,526","0.67","2.10","28.90%","83","0.72%","$0.08","1.17￠","$0.97","-","-"
"2026-08-31 (一)","iOS_Loklok - quban","激励视频","316","152","48.10%","1,407","786","55.86%","10,297","5,119","49.71%","89.31%","4,572","1,383","30.25%","-","615","77.72%","329","1.04","2.16","23.79%","65","19.76%","$7.79","3.94￠","$2.56","0.53","1.10"
"2026-08-31 (一)","iOS_Loklok - quban","插屏","316","77","24.37%","949","548","57.75%","7,648","3,899","50.98%","112.95%","4,404","916","20.80%","-","1,365","73.70%","146","0.46","1.90","15.94%","28","19.18%","$4.70","2.45￠","$0.69","0.11","0.44"
"2026-08-31 (一)","iOS_Loklok - quban","开屏","316","246","77.85%","376","356","94.68%","1,787","1,284","71.85%","134.66%","1,729","957","55.35%","-","325","100.00%","382","1.21","1.55","39.92%","89","23.30%","$2.27","0.97￠","$0.87","0.09","0.12"
"2026-08-31 (一)","iOS_Loklok - quban","原生","316","168","53.16%","1,330","961","72.26%","6,277","1,212","19.31%","99.26%","1,203","1,166","96.92%","-","-","-","399","1.26","2.38","34.22%","-","-","$0.12","-","$0.05","0.01","0.02"
"2026-08-31 (一)","iOS_Loklok - quban","横幅","316","180","56.96%","529","478","90.36%","2,624","913","34.79%","66.48%","607","598","98.52%","-","-","-","527","1.67","2.93","88.13%","2","0.38%","$0.12","3.26￠","$0.07","-","-"
"2026-08-31 (一)","iOS_MovieBox - galvo","激励视频","15,860","7,530","47.48%","347,987","100,687","28.93%","1,206,082","387,665","32.14%","78.04%","302,551","145,503","48.09%","-","87,975","61.67%","30,075","1.90","3.99","20.67%","1,605","5.34%","$2.21","4.14￠","$66.49","0.33999999999999997","0.72"
"2026-08-31 (一)","iOS_MovieBox - galvo","插屏","15,860","7,585","47.82%","468,541","85,629","18.28%","1,588,804","354,105","22.29%","115.63%","409,448","132,654","32.40%","-","892,224","25.72%","24,421","1.54","3.22","18.41%","1,823","7.46%","$0.94","1.25￠","$22.86","0.11","0.24"
"2026-08-31 (一)","iOS_MovieBox - galvo","开屏","15,860","6,135","38.68%","19,551","13,127","67.14%","25,236","14,468","57.33%","100.30%","14,511","14,126","97.35%","-","10,228","100.00%","10,722","0.68","1.75","75.90%","294","2.74%","$0.18","0.67￠","$1.96","0.01","0.03"
"2026-08-31 (一)","iOS_MovieBox - galvo","横幅","15,860","5,576","35.16%","9,377,134","44,404","0.47%","23,765,942","217,316","0.91%","99.48%","216,178","48,268","22.33%","-","-","-","39,820","2.51","7.14","82.50%","192","0.48%","$0.08","1.75￠","$3.36","0.01","0.03"
"2026-08-31 (一)","iOS_MovieBox - galvo","原生","15,860","794","5.01%","3,507,736","6,946","0.20%","7,364,793","60,984","0.83%","100.43%","61,244","7,380","12.05%","-","-","-","1,300","0.08","1.64","17.62%","1","0.08%","$0.07","8.79￠","$0.09","-","0.01"
"2026-08-31 (一)","iOS_PikCube - kelvin","激励视频","23,140","16,593","71.71%","646,115","154,246","23.87%","4,014,728","972,462","24.22%","50.26%","488,729","205,596","42.07%","-","644,915","39.02%","81,435","3.52","4.91","39.61%","14,579","17.90%","$2.88","1.61￠","$234.24","0.79","1.10"
"2026-08-31 (一)","iOS_PikCube - kelvin","插屏","23,140","12,806","55.34%","391,455","86,599","22.12%","2,513,139","577,762","22.99%","145.50%","840,640","95,053","11.31%","-","502,787","53.14%","43,614","1.88","3.41","45.88%","11,541","26.46%","$1.71","0.65￠","$74.73","0.22999999999999998","0.41"
"2026-08-31 (一)","iOS_PikCube - kelvin","开屏","23,140","15,359","66.37%","41,950","37,157","88.57%","336,366","241,184","71.70%","37.96%","91,547","46,534","50.83%","-","28,950","96.00%","26,921","1.16","1.75","57.85%","14,695","54.59%","$1.51","0.28￠","$40.52","0.08","0.13"
"2026-08-31 (一)","iOS_PikCube - kelvin","横幅","23,140","19,275","83.30%","530,324","126,161","23.79%","3,045,661","317,118","10.41%","49.05%","155,541","130,107","83.65%","-","-","-","105,873","4.58","5.49","81.37%","2,282","2.16%","$0.19","0.90￠","$20.55","0.05","0.07"
"2026-08-31 (一)","iOS_PikCube - kelvin","原生","23,140","8,208","35.47%","136,412","73,285","53.72%","685,373","106,479","15.54%","98.18%","104,536","93,951","89.87%","-","-","-","13,904","0.60","1.69","14.80%","36","0.26%","$0.08","3.16￠","$1.14","-","0.01"
"2026-08-31 (一)","安卓_LOKTV - sento","激励视频","102,227","25,674","25.11%","485,449","188,992","38.93%","4,328,347","1,512,946","34.95%","66.41%","1,004,704","302,175","30.08%","80.66%","388,337","32.84%","127,361","1.25","4.96","42.15%","23,658","18.58%","$1.88","1.01￠","$238.86","0.1","0.39"
"2026-08-31 (一)","安卓_LOKTV - sento","插屏","102,227","23,414","22.90%","315,775","163,441","51.76%","2,881,885","1,092,503","37.91%","96.04%","1,049,252","275,031","26.21%","-","48,909","8.99%","95,391","0.93","4.07","34.68%","29,412","30.83%","$1.65","0.54￠","$157.74","0.05","0.21"
"2026-08-31 (一)","安卓_LOKTV - sento","开屏","102,227","20,539","20.09%","53,724","47,116","87.70%","508,019","287,497","56.59%","88.81%","255,313","94,315","36.94%","-","43,387","64.75%","33,364","0.33","1.62","35.38%","11,408","34.19%","$2.04","0.60￠","$68.03","0.02","0.10"
"2026-08-31 (一)","安卓_LOKTV - sento","横幅","102,227","36,234","35.44%","1,088,930","504,880","46.36%","10,223,824","1,044,939","10.22%","66.81%","698,082","663,803","95.09%","-","-","-","317,549","3.11","8.76","47.84%","2,517","0.79%","$0.09","1.10￠","$27.68","0.01","0.03"
"2026-08-31 (一)","iOS_MovieBox - opal","激励视频","16,129","8,011","49.67%","191,667","62,789","32.76%","1,229,855","281,922","22.92%","335.51%","945,873","90,873","9.61%","98.92%","71,463","73.80%","23,073","1.43","2.88","25.39%","3,662","15.87%","$3.65","2.30￠","$84.25","0.31","0.61"
"2026-08-31 (一)","iOS_MovieBox - opal","插屏","16,129","5,197","32.22%","191,364","66,468","34.73%","1,270,194","252,903","19.91%","391.05%","988,978","98,522","9.96%","-","27,387","76.34%","10,995","0.68","2.12","11.16%","3,927","35.72%","$2.89","0.81￠","$31.77","0.09","0.28"
"2026-08-31 (一)","iOS_MovieBox - opal","开屏","16,129","10,248","63.54%","22,336","20,615","92.29%","134,118","59,534","44.39%","157.98%","94,050","34,043","36.20%","-","41,544","61.25%","18,434","1.14","1.80","54.15%","12,649","68.62%","$1.97","0.29￠","$36.34","0.06","0.10"
